epoch,step,test_cardinality_error_enc_0_epoch,test_cardinality_error_enc_0_step,test_cardinality_error_enc_1_epoch,test_cardinality_error_enc_1_step,test_cardinality_error_enc_2_epoch,test_cardinality_error_enc_2_step,test_cardinality_error_enc_3_epoch,test_cardinality_error_enc_3_step,test_cardinality_error_enc_4_epoch,test_cardinality_error_enc_4_step,test_cardinality_error_enc_epoch,test_cardinality_error_enc_step,test_cardinality_error_epoch,test_cardinality_error_step,test_class_precision_epoch,test_class_precision_step,test_corr_mask_attn_map_dec_0_epoch,test_corr_mask_attn_map_dec_0_step,test_corr_mask_attn_map_dec_1_epoch,test_corr_mask_attn_map_dec_1_step,test_corr_mask_attn_map_dec_2_epoch,test_corr_mask_attn_map_dec_2_step,test_corr_mask_attn_map_dec_all_epoch,test_corr_mask_attn_map_dec_all_step,test_loss_ce_enc_0_epoch,test_loss_ce_enc_0_step,test_loss_ce_enc_1_epoch,test_loss_ce_enc_1_step,test_loss_ce_enc_2_epoch,test_loss_ce_enc_2_step,test_loss_ce_enc_3_epoch,test_loss_ce_enc_3_step,test_loss_ce_enc_4_epoch,test_loss_ce_enc_4_step,test_loss_ce_enc_epoch,test_loss_ce_enc_step,test_loss_ce_epoch,test_loss_ce_step,test_loss_epoch,test_loss_mask_prediction_epoch,test_loss_mask_prediction_step,test_loss_screw_angle_enc_0_epoch,test_loss_screw_angle_enc_0_step,test_loss_screw_angle_enc_1_epoch,test_loss_screw_angle_enc_1_step,test_loss_screw_angle_enc_2_epoch,test_loss_screw_angle_enc_2_step,test_loss_screw_angle_enc_3_epoch,test_loss_screw_angle_enc_3_step,test_loss_screw_angle_enc_4_epoch,test_loss_screw_angle_enc_4_step,test_loss_screw_angle_enc_epoch,test_loss_screw_angle_enc_step,test_loss_screw_angle_epoch,test_loss_screw_angle_step,test_loss_screw_head_enc_0_epoch,test_loss_screw_head_enc_0_step,test_loss_screw_head_enc_1_epoch,test_loss_screw_head_enc_1_step,test_loss_screw_head_enc_2_epoch,test_loss_screw_head_enc_2_step,test_loss_screw_head_enc_3_epoch,test_loss_screw_head_enc_3_step,test_loss_screw_head_enc_4_epoch,test_loss_screw_head_enc_4_step,test_loss_screw_head_enc_epoch,test_loss_screw_head_enc_step,test_loss_screw_head_epoch,test_loss_screw_head_step,test_loss_screw_midpoint_enc_0_epoch,test_loss_screw_midpoint_enc_0_step,test_loss_screw_midpoint_enc_1_epoch,test_loss_screw_midpoint_enc_1_step,test_loss_screw_midpoint_enc_2_epoch,test_loss_screw_midpoint_enc_2_step,test_loss_screw_midpoint_enc_3_epoch,test_loss_screw_midpoint_enc_3_step,test_loss_screw_midpoint_enc_4_epoch,test_loss_screw_midpoint_enc_4_step,test_loss_screw_midpoint_enc_epoch,test_loss_screw_midpoint_enc_step,test_loss_screw_midpoint_epoch,test_loss_screw_midpoint_step,test_loss_screw_tip_enc_0_epoch,test_loss_screw_tip_enc_0_step,test_loss_screw_tip_enc_1_epoch,test_loss_screw_tip_enc_1_step,test_loss_screw_tip_enc_2_epoch,test_loss_screw_tip_enc_2_step,test_loss_screw_tip_enc_3_epoch,test_loss_screw_tip_enc_3_step,test_loss_screw_tip_enc_4_epoch,test_loss_screw_tip_enc_4_step,test_loss_screw_tip_enc_epoch,test_loss_screw_tip_enc_step,test_loss_screw_tip_epoch,test_loss_screw_tip_step,test_loss_step,test_precision_angle_10_epoch,test_precision_angle_10_step,test_precision_angle_1_epoch,test_precision_angle_1_step,test_precision_angle_2_epoch,test_precision_angle_2_step,test_precision_angle_3_epoch,test_precision_angle_3_step,test_precision_angle_4_epoch,test_precision_angle_4_step,test_precision_angle_5_epoch,test_precision_angle_5_step,test_precision_angle_6_epoch,test_precision_angle_6_step,test_precision_angle_7_epoch,test_precision_angle_7_step,test_precision_angle_8_epoch,test_precision_angle_8_step,test_precision_angle_9_epoch,test_precision_angle_9_step,test_precision_head_10_epoch,test_precision_head_10_step,test_precision_head_1_epoch,test_precision_head_1_step,test_precision_head_2_epoch,test_precision_head_2_step,test_precision_head_3_epoch,test_precision_head_3_step,test_precision_head_4_epoch,test_precision_head_4_step,test_precision_head_5_epoch,test_precision_head_5_step,test_precision_head_6_epoch,test_precision_head_6_step,test_precision_head_7_epoch,test_precision_head_7_step,test_precision_head_8_epoch,test_precision_head_8_step,test_precision_head_9_epoch,test_precision_head_9_step,test_precision_midpoint_10_epoch,test_precision_midpoint_10_step,test_precision_midpoint_1_epoch,test_precision_midpoint_1_step,test_precision_midpoint_2_epoch,test_precision_midpoint_2_step,test_precision_midpoint_3_epoch,test_precision_midpoint_3_step,test_precision_midpoint_4_epoch,test_precision_midpoint_4_step,test_precision_midpoint_5_epoch,test_precision_midpoint_5_step,test_precision_midpoint_6_epoch,test_precision_midpoint_6_step,test_precision_midpoint_7_epoch,test_precision_midpoint_7_step,test_precision_midpoint_8_epoch,test_precision_midpoint_8_step,test_precision_midpoint_9_epoch,test_precision_midpoint_9_step,test_precision_tip_10_epoch,test_precision_tip_10_step,test_precision_tip_1_epoch,test_precision_tip_1_step,test_precision_tip_2_epoch,test_precision_tip_2_step,test_precision_tip_3_epoch,test_precision_tip_3_step,test_precision_tip_4_epoch,test_precision_tip_4_step,test_precision_tip_5_epoch,test_precision_tip_5_step,test_precision_tip_6_epoch,test_precision_tip_6_step,test_precision_tip_7_epoch,test_precision_tip_7_step,test_precision_tip_8_epoch,test_precision_tip_8_step,test_precision_tip_9_epoch,test_precision_tip_9_step,test_recall_angle_10_epoch,test_recall_angle_10_step,test_recall_angle_1_epoch,test_recall_angle_1_step,test_recall_angle_2_epoch,test_recall_angle_2_step,test_recall_angle_3_epoch,test_recall_angle_3_step,test_recall_angle_4_epoch,test_recall_angle_4_step,test_recall_angle_5_epoch,test_recall_angle_5_step,test_recall_angle_6_epoch,test_recall_angle_6_step,test_recall_angle_7_epoch,test_recall_angle_7_step,test_recall_angle_8_epoch,test_recall_angle_8_step,test_recall_angle_9_epoch,test_recall_angle_9_step,test_recall_head_10_epoch,test_recall_head_10_step,test_recall_head_1_epoch,test_recall_head_1_step,test_recall_head_2_epoch,test_recall_head_2_step,test_recall_head_3_epoch,test_recall_head_3_step,test_recall_head_4_epoch,test_recall_head_4_step,test_recall_head_5_epoch,test_recall_head_5_step,test_recall_head_6_epoch,test_recall_head_6_step,test_recall_head_7_epoch,test_recall_head_7_step,test_recall_head_8_epoch,test_recall_head_8_step,test_recall_head_9_epoch,test_recall_head_9_step,test_recall_midpoint_10_epoch,test_recall_midpoint_10_step,test_recall_midpoint_1_epoch,test_recall_midpoint_1_step,test_recall_midpoint_2_epoch,test_recall_midpoint_2_step,test_recall_midpoint_3_epoch,test_recall_midpoint_3_step,test_recall_midpoint_4_epoch,test_recall_midpoint_4_step,test_recall_midpoint_5_epoch,test_recall_midpoint_5_step,test_recall_midpoint_6_epoch,test_recall_midpoint_6_step,test_recall_midpoint_7_epoch,test_recall_midpoint_7_step,test_recall_midpoint_8_epoch,test_recall_midpoint_8_step,test_recall_midpoint_9_epoch,test_recall_midpoint_9_step,test_recall_tip_10_epoch,test_recall_tip_10_step,test_recall_tip_1_epoch,test_recall_tip_1_step,test_recall_tip_2_epoch,test_recall_tip_2_step,test_recall_tip_3_epoch,test_recall_tip_3_step,test_recall_tip_4_epoch,test_recall_tip_4_step,test_recall_tip_5_epoch,test_recall_tip_5_step,test_recall_tip_6_epoch,test_recall_tip_6_step,test_recall_tip_7_epoch,test_recall_tip_7_step,test_recall_tip_8_epoch,test_recall_tip_8_step,test_recall_tip_9_epoch,test_recall_tip_9_step
,0,,1.0,,1.0,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.04561704397201538,,0.6050424575805664,,0.9971043467521667,,0.5298765897750854,,0.42698967456817627,,0.33823829889297485,,0.3902410864830017,,0.751125693321228,,0.46168631315231323,,0.26328983902931213,,0.07380615174770355,,,0.2082718014717102,,71.16313171386719,,124.66707611083984,,133.50949096679688,,127.55108642578125,,100.37744903564453,,100.57535552978516,,116.40583801269531,,236.21807861328125,,370.44207763671875,,370.74505615234375,,371.8718566894531,,424.10260009765625,,428.58392333984375,,375.4913635253906,,338.8729248046875,,360.250244140625,,336.0538635253906,,316.8382263183594,,356.65966796875,,362.22900390625,,316.32818603515625,,441.5278015136719,,438.04931640625,,450.62738037109375,,443.2945556640625,,382.94610595703125,,392.703125,,414.9971008300781,71.53839111328125,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,1,,2.0,,2.0,,2.0,,2.0,,1.0,,1.0,,1.0,,0.0,,0.05256419628858566,,0.6032986044883728,,0.9985580444335938,,0.5294359922409058,,2.1494579315185547,,1.2378696203231812,,0.5820479393005371,,0.8760008215904236,,0.7103383541107178,,0.7462950348854065,,0.7594205141067505,,,0.20000062882900238,,76.4114761352539,,75.86444854736328,,75.92933654785156,,98.21817779541016,,83.17994689941406,,88.32167053222656,,99.36058044433594,,292.09576416015625,,311.0828552246094,,312.6166687011719,,316.129150390625,,337.98443603515625,,318.0743408203125,,434.25311279296875,,161.1112518310547,,436.7255859375,,435.78704833984375,,433.1441650390625,,448.8476257324219,,439.7195129394531,,435.906005859375,,308.93438720703125,,562.3682861328125,,558.9573974609375,,550.1591186523438,,559.7108154296875,,561.3646240234375,,437.55889892578125,96.91130065917969,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,2,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.06461910158395767,,0.6204451322555542,,0.9986838102340698,,0.5853119492530823,,1.2370424270629883,,1.4815335273742676,,2.138306140899658,,2.023954153060913,,2.0085177421569824,,1.56498384475708,,0.39253273606300354,,,0.1872594803571701,,18.531356811523438,,52.05601119995117,,54.647335052490234,,134.20053100585938,,91.1009292602539,,89.52943420410156,,107.32186126708984,,270.55120849609375,,273.84222412109375,,271.7878723144531,,304.00128173828125,,312.26251220703125,,306.01312255859375,,368.2736511230469,,307.23931884765625,,309.83538818359375,,316.03643798828125,,369.4622497558594,,392.54254150390625,,436.87884521484375,,334.95281982421875,,371.8800048828125,,384.1190185546875,,400.30560302734375,,434.92315673828125,,472.82257080078125,,567.7445068359375,,384.13055419921875,108.11514282226562,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,3,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.058956678956747055,,0.6026151180267334,,0.9907192587852478,,0.5247623324394226,,0.5166349411010742,,0.7414170503616333,,0.3687906861305237,,0.11008962988853455,,0.07079079747200012,,0.0653400644659996,,0.1428355872631073,,,0.19366960227489471,,79.90200805664062,,104.69882202148438,,95.01001739501953,,115.0277328491211,,128.35366821289062,,127.61559295654297,,161.51412963867188,,309.93157958984375,,154.66018676757812,,255.8067169189453,,342.8270263671875,,346.255615234375,,344.97149658203125,,257.81634521484375,,403.83349609375,,258.9800109863281,,295.2259521484375,,421.53619384765625,,423.6224060058594,,420.89697265625,,360.3427429199219,,497.7353820800781,,380.349609375,,432.16009521484375,,500.2453308105469,,500.9891052246094,,496.822509765625,,462.8691711425781,65.69200134277344,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,4,,2.0,,2.0,,2.0,,2.0,,1.0,,0.0,,1.0,,0.0,,0.05132174491882324,,0.677870512008667,,0.9980238676071167,,0.5385552644729614,,0.7005941271781921,,0.8058152198791504,,0.24834731221199036,,0.24302294850349426,,0.17813627421855927,,0.1674838662147522,,0.13115885853767395,,,0.20749975740909576,,151.26559448242188,,61.90502166748047,,84.28166198730469,,88.98475646972656,,94.82398223876953,,94.85906982421875,,104.58145141601562,,312.16070556640625,,229.5772705078125,,143.38882446289062,,142.5686798095703,,147.10519409179688,,144.76858520507812,,144.31494140625,,349.6822204589844,,346.6029052734375,,312.26556396484375,,316.02215576171875,,319.39642333984375,,316.63946533203125,,326.2196044921875,,387.2037353515625,,463.6285400390625,,481.14239501953125,,489.4755859375,,496.0577392578125,,489.0023193359375,,508.6717529296875,60.65778350830078,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,5,,2.0,,2.0,,2.0,,2.0,,2.0,,0.0,,0.0,,0.0,,0.013853080570697784,,0.6261014342308044,,0.9929981231689453,,0.5075546503067017,,1.1050684452056885,,1.0035905838012695,,0.8704631328582764,,0.4667492210865021,,0.5860123038291931,,0.5612813830375671,,0.09022818505764008,,,0.21402068436145782,,117.93736267089844,,118.93890380859375,,97.69302368164062,,115.63225555419922,,97.09574127197266,,95.1228256225586,,147.64706420898438,,274.58349609375,,228.81948852539062,,114.76578521728516,,228.9949951171875,,111.97897338867188,,115.9917221069336,,236.58877563476562,,266.0740966796875,,320.95452880859375,,204.2618865966797,,267.41107177734375,,199.0536651611328,,194.73170471191406,,333.14349365234375,,349.02490234375,,430.9281005859375,,370.43426513671875,,376.9858703613281,,353.45501708984375,,342.9896240234375,,454.5238037109375,65.31726837158203,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,6,,2.0,,2.0,,1.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.010444163344800472,,0.6356896162033081,,0.9975467920303345,,0.5139980316162109,,0.822250485420227,,0.9476721286773682,,0.4066102206707001,,0.2073279172182083,,0.3196302354335785,,0.2825257480144501,,0.503929853439331,,,0.19850903749465942,,140.8942108154297,,91.59929656982422,,91.08771514892578,,95.98186492919922,,92.62027740478516,,92.60556030273438,,156.11181640625,,195.0442352294922,,92.93863677978516,,90.98163604736328,,91.98089599609375,,94.64776611328125,,91.66483306884766,,195.58837890625,,207.1370086669922,,163.54200744628906,,176.64735412597656,,175.60580444335938,,174.80267333984375,,173.14212036132812,,230.06228637695312,,364.89288330078125,,312.29412841796875,,342.532470703125,,331.4224853515625,,326.5740051269531,,325.65716552734375,,368.1598205566406,51.192970275878906,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,7,,2.0,,2.0,,2.0,,1.0,,1.0,,1.0,,1.0,,0.0,,0.010336851701140404,,0.6297010183334351,,0.9950677752494812,,0.5168728232383728,,0.5713915228843689,,1.0494695901870728,,0.7367883324623108,,1.07763671875,,0.687171995639801,,0.6504145264625549,,0.4478651285171509,,,0.19511772692203522,,98.73223876953125,,110.19607543945312,,121.40692138671875,,91.73335266113281,,85.22206115722656,,91.9808349609375,,118.81045532226562,,126.81455993652344,,140.0092315673828,,154.69131469726562,,188.9805908203125,,183.6575469970703,,188.28274536132812,,137.05718994140625,,232.48223876953125,,245.96038818359375,,237.57765197753906,,248.85098266601562,,245.95040893554688,,255.3723602294922,,230.45057678222656,,416.97467041015625,,459.29168701171875,,436.0516662597656,,379.8607482910156,,377.43463134765625,,391.76153564453125,,419.65679931640625,68.00070190429688,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.5,,0.5,,0.5,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,1.0,,1.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,8,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,1.0,,0.0,,0.009617580100893974,,0.7029010653495789,,0.9924971461296082,,0.5143496990203857,,1.4330683946609497,,1.280897855758667,,1.231864333152771,,0.7655806541442871,,0.502382755279541,,0.3872237503528595,,0.5072556138038635,,,0.19595879316329956,,98.18949127197266,,102.93437194824219,,38.08497619628906,,104.13610076904297,,35.68850326538086,,37.382469177246094,,34.9041748046875,,136.3358154296875,,176.03921508789062,,269.36468505859375,,97.60079193115234,,271.4432067871094,,271.4433288574219,,272.19647216796875,,208.93594360351562,,211.11087036132812,,182.24298095703125,,147.63385009765625,,180.4014434814453,,178.5738067626953,,210.1298370361328,,402.83599853515625,,403.716552734375,,208.27145385742188,,343.13494873046875,,195.63198852539062,,189.69393920898438,,233.75164794921875,66.77095794677734,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
,9,,2.0,,2.0,,1.0,,0.0,,1.0,,0.0,,1.0,,0.0,,0.01121678575873375,,0.6629299521446228,,0.9944334626197815,,0.503416895866394,,0.8079278469085693,,0.6308687925338745,,0.6983792781829834,,0.17001983523368835,,0.21460536122322083,,0.18468943238258362,,0.17461584508419037,,,0.21090246737003326,,38.388851165771484,,38.509727478027344,,101.52362060546875,,110.42616271972656,,111.70014953613281,,111.40721130371094,,109.18931579589844,,170.9385528564453,,180.74124145507812,,93.56283569335938,,250.47189331054688,,250.64064025878906,,247.3802032470703,,190.73104858398438,,149.69735717773438,,148.39419555664062,,157.89614868164062,,299.44854736328125,,299.5339050292969,,293.5889892578125,,317.20367431640625,,250.8316192626953,,250.6835174560547,,409.3551025390625,,479.84130859375,,476.95263671875,,462.5051574707031,,517.2613525390625,58.601173400878906,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0
